label,packet_count,avg_packet_size,unique_src_ips,unique_dst_ips,unique_dst_ports,tcp_count,udp_count,reasons
ALERT,209,348.45,74,5,9,38,171,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,368,249.97,69,9,11,50,318,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,189,479.53,71,8,8,30,159,Possible DoS: high packet volume
ALERT,215,374.14,52,10,10,38,177,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,103,310.86,40,7,12,53,50,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,234,405.85,83,10,12,37,197,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,302,429.71,87,10,11,41,261,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,291,271.11,88,9,9,37,254,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,350,421.24,100,8,10,47,303,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,298,481.81,84,9,12,46,252,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,288,448.86,93,8,9,35,253,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,256,340.2,83,7,9,43,213,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,703,456.29,98,10,6,25,678,Possible DoS: high packet volume
ALERT,467,393.65,103,11,16,62,405,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,180,210.68,74,10,13,64,116,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,686,483.23,105,9,10,29,657,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,334,399.42,91,9,11,57,277,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,144,431.04,38,8,8,21,123,Possible DoS: high packet volume
ALERT,128,397.96,46,4,8,30,98,Possible DoS: high packet volume
ALERT,232,371.62,71,12,13,59,173,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,152,478.82,60,8,8,30,122,Possible DoS: high packet volume
ALERT,700,516.56,93,11,11,42,658,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,429,459.37,84,13,31,45,383,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,371,544.08,87,11,13,20,351,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,796,480.02,107,9,9,44,752,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,416,509.58,94,9,7,21,395,Possible DoS: high packet volume
ALERT,417,479.03,94,13,11,50,367,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,299,476.76,101,8,9,35,264,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,413,576.64,82,7,6,17,396,Possible DoS: high packet volume
ALERT,438,361.39,95,10,12,45,393,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,332,437.98,94,10,9,38,294,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,319,391.45,84,11,15,40,279,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,362,457.28,91,11,9,40,322,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,652,502.76,132,9,8,22,630,Possible DoS: high packet volume
ALERT,530,393.43,118,11,12,61,469,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,347,430.8,97,10,12,48,299,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,734,472.31,103,6,6,18,716,Possible DoS: high packet volume
ALERT,475,334.25,103,13,15,73,402,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,907,451.72,106,11,9,20,887,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,516,391.53,106,16,21,57,459,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
